Zeit,Kanal A,Kanal B
(s),(mV),(V)

86.66670993,10.52736000,-0.00915555
86.80004333,10.13672000,-0.00854518
86.93337673,10.78066000,-0.00671407
87.06671013,10.50600000,-0.00732444
87.20004353,10.11994000,-0.02197333
87.33337693,10.77151000,-0.00732444
87.46671033,10.51515000,-0.00671407
87.60004373,10.12757000,-0.01159703
87.73337713,10.79745000,-0.01037629
87.86671053,10.48463000,-0.00610370
88.00004393,10.12146000,-0.01525925
88.13337733,10.78372000,-0.00854518
88.26671073,10.51057000,-0.00732444
88.40004413,10.15351000,-0.00854518
88.53337753,10.80966000,-0.01159703
88.66671093,10.47548000,-0.00244148
88.80004433,10.11231000,-0.01159703
88.93337773,10.82949000,-0.00793481
89.06671113,10.51515000,-0.00244148
89.20004453,10.15351000,-0.00793481
89.33337793,10.82339000,-0.00732444
89.46671133,10.52278000,-0.01037629
89.60004473,10.18250000,-0.00305185
89.73337813,10.84475000,-0.00732444
89.86671153,10.53194000,-0.00244148
90.00004493,10.17792000,-0.01342814
90.13337833,10.86459000,-0.00427259
90.26671173,10.54872000,-0.00732444
90.40004513,10.19929000,-0.00671407
90.53337853,10.86459000,-0.00366222
90.66671193,10.52431000,-0.01220740
90.80004533,10.22980000,-0.01159703
90.93337873,10.84170000,-0.00671407
91.06671213,10.52889000,-0.00854518
91.20004553,10.21149000,-0.01281777
91.33337893,10.84780000,-0.00427259
91.46671233,10.53499000,-0.01281777
91.60004573,10.22370000,-0.01098666
91.73337913,10.83560000,-0.00610370
91.86671253,10.49074000,-0.01892148
92.00004593,10.25269000,0.01770074
92.13337933,10.82797000,-0.01098666
92.26671273,10.54720000,-0.00915555
92.40004613,10.25727000,-0.01342814
92.53337952,10.80813000,-0.00915555
92.66671292,10.55025000,-0.01525925
92.80004632,10.27863000,-0.00671407
92.93337972,10.78066000,-0.00915555
93.06671312,10.52431000,0.02624592
93.20004652,10.29237000,-0.00549333
93.33337992,10.76846000,-0.00366222
